"year","age_group","ghe_cause","avg_mean_value","avg_age_standardized_rate"
2018,"25 to 29 years","Ischaemic Heart Disease",58790.29,5.29
2016,"25 to 29 years","Ischaemic Heart Disease",58710.28,5.31
2019,"25 to 29 years","Ischaemic Heart Disease",57927.17,5.21
2017,"25 to 29 years","Ischaemic Heart Disease",57418.28,5.22
2010,"25 to 29 years","Acute Lower Respiratory Infections",43341.25,4.75
2011,"25 to 29 years","Acute Lower Respiratory Infections",41864.7,4.49
2012,"25 to 29 years","Acute Lower Respiratory Infections",40386.19,4.26
2013,"25 to 29 years","Acute Lower Respiratory Infections",40232.84,4.16
2014,"25 to 29 years","Acute Lower Respiratory Infections",37852.74,3.9
2013,"25 to 29 years","Stroke",37508.06,3.48
2011,"25 to 29 years","Stroke",36667.96,3.58
2010,"25 to 29 years","Stroke",36627.47,3.64
2015,"25 to 29 years","Acute Lower Respiratory Infections",36380.65,3.71
2012,"25 to 29 years","Stroke",36375.12,3.48
2018,"25 to 29 years","Acute Lower Respiratory Infections",36136.54,3.56
2014,"25 to 29 years","Stroke",36048.35,3.31
2016,"25 to 29 years","Acute Lower Respiratory Infections",35875.69,3.62
2019,"25 to 29 years","Acute Lower Respiratory Infections",35818.04,3.49
2017,"25 to 29 years","Acute Lower Respiratory Infections",35151.79,3.52
2015,"25 to 29 years","Stroke",34985.94,3.2
2016,"25 to 29 years","Stroke",34229.75,3.12
2017,"25 to 29 years","Stroke",33472.3,3.06
2018,"25 to 29 years","Stroke",32759.19,3.02
2019,"25 to 29 years","Stroke",31639.51,2.93
2013,"25 to 29 years","Chronic Obstructive Pulmonary Disease",18427.96,1.63
2012,"25 to 29 years","Chronic Obstructive Pulmonary Disease",17901.4,1.63
2011,"25 to 29 years","Chronic Obstructive Pulmonary Disease",17861.47,1.66
2010,"25 to 29 years","Chronic Obstructive Pulmonary Disease",17755.82,1.68
2014,"25 to 29 years","Chronic Obstructive Pulmonary Disease",17681.74,1.56
2015,"25 to 29 years","Chronic Obstructive Pulmonary Disease",17331.29,1.52
2016,"25 to 29 years","Chronic Obstructive Pulmonary Disease",16746.35,1.47
2018,"25 to 29 years","Chronic Obstructive Pulmonary Disease",16391.35,1.44
2017,"25 to 29 years","Chronic Obstructive Pulmonary Disease",16258.66,1.43
2019,"25 to 29 years","Chronic Obstructive Pulmonary Disease",15992.78,1.41
2013,"25 to 29 years","Lung Cancer",4050.5,0.31
2014,"25 to 29 years","Lung Cancer",3829.34,0.29
2015,"25 to 29 years","Lung Cancer",3684.39,0.27
2012,"25 to 29 years","Lung Cancer",3579.78,0.29
2016,"25 to 29 years","Lung Cancer",3515.68,0.26
2011,"25 to 29 years","Lung Cancer",3447.46,0.28
2017,"25 to 29 years","Lung Cancer",3382.31,0.26
2010,"25 to 29 years","Lung Cancer",3248.46,0.28
2018,"25 to 29 years","Lung Cancer",3181.63,0.25
2019,"25 to 29 years","Lung Cancer",3001.83,0.24
2019,"30 to 34 years","Ischaemic Heart Disease",108326.84,9.42
2010,"30 to 34 years","Ischaemic Heart Disease",108281.74,11.18
2011,"30 to 34 years","Ischaemic Heart Disease",107625.97,10.95
2018,"30 to 34 years","Ischaemic Heart Disease",107470.69,9.54
2013,"30 to 34 years","Ischaemic Heart Disease",105986.4,10.46
2012,"30 to 34 years","Ischaemic Heart Disease",105545.55,10.62
2017,"30 to 34 years","Ischaemic Heart Disease",103525.26,9.45
2014,"30 to 34 years","Ischaemic Heart Disease",103050.73,10.06
2016,"30 to 34 years","Ischaemic Heart Disease",102068.07,9.55
2015,"30 to 34 years","Ischaemic Heart Disease",101620.94,9.75
2010,"30 to 34 years","Stroke",50180.69,5.26
2018,"30 to 34 years","Stroke",49039.42,4.36
2011,"30 to 34 years","Stroke",49014.52,5.09
2013,"30 to 34 years","Stroke",48917.22,4.9
2019,"30 to 34 years","Stroke",48710.22,4.24
2017,"30 to 34 years","Stroke",48211.04,4.39
2012,"30 to 34 years","Stroke",47843.27,4.91
2014,"30 to 34 years","Stroke",47743.44,4.7
2016,"30 to 34 years","Stroke",47527.93,4.46
2015,"30 to 34 years","Stroke",47170.82,4.55
2010,"30 to 34 years","Acute Lower Respiratory Infections",44477.66,5.54
2011,"30 to 34 years","Acute Lower Respiratory Infections",42872.46,5.21
2013,"30 to 34 years","Acute Lower Respiratory Infections",41500.83,4.81
2012,"30 to 34 years","Acute Lower Respiratory Infections",41437.77,4.93
2014,"30 to 34 years","Acute Lower Respiratory Infections",40056.02,4.56
2019,"30 to 34 years","Acute Lower Respiratory Infections",39058.33,3.92
2018,"30 to 34 years","Acute Lower Respiratory Infections",39012.47,4.01
2016,"30 to 34 years","Acute Lower Respiratory Infections",38867.16,4.2
2015,"30 to 34 years","Acute Lower Respiratory Infections",38827.21,4.31
2017,"30 to 34 years","Acute Lower Respiratory Infections",37980.55,4.0
2013,"30 to 34 years","Chronic Obstructive Pulmonary Disease",21876.11,2.1
2010,"30 to 34 years","Chronic Obstructive Pulmonary Disease",21703.45,2.19
2011,"30 to 34 years","Chronic Obstructive Pulmonary Disease",21509.97,2.15
2012,"30 to 34 years","Chronic Obstructive Pulmonary Disease",21366.31,2.11
2018,"30 to 34 years","Chronic Obstructive Pulmonary Disease",21285.28,1.87
2014,"30 to 34 years","Chronic Obstructive Pulmonary Disease",21176.83,2.01
2019,"30 to 34 years","Chronic Obstructive Pulmonary Disease",21164.93,1.82
2015,"30 to 34 years","Chronic Obstructive Pulmonary Disease",21033.54,1.96
2016,"30 to 34 years","Chronic Obstructive Pulmonary Disease",20755.72,1.9
2017,"30 to 34 years","Chronic Obstructive Pulmonary Disease",20627.35,1.85
2013,"30 to 34 years","Lung Cancer",6624.03,0.55
2018,"30 to 34 years","Lung Cancer",6482.71,0.47
2019,"30 to 34 years","Lung Cancer",6476.12,0.46
2017,"30 to 34 years","Lung Cancer",6421.73,0.48
2014,"30 to 34 years","Lung Cancer",6284.76,0.52
2011,"30 to 34 years","Lung Cancer",6201.34,0.53
2010,"30 to 34 years","Lung Cancer",6197.67,0.53
2015,"30 to 34 years","Lung Cancer",6138.11,0.49
2016,"30 to 34 years","Lung Cancer",6134.15,0.48
2012,"30 to 34 years","Lung Cancer",6092.24,0.52
2010,"35 to 39 years","Ischaemic Heart Disease",169278.67,17.3
2011,"35 to 39 years","Ischaemic Heart Disease",166854.87,16.92
2019,"35 to 39 years","Ischaemic Heart Disease",165715.02,15.06
2013,"35 to 39 years","Ischaemic Heart Disease",165163.59,16.5
2018,"35 to 39 years","Ischaemic Heart Disease",164618.07,15.32
2012,"35 to 39 years","Ischaemic Heart Disease",163880.68,16.57
2014,"35 to 39 years","Ischaemic Heart Disease",160448.77,16.01
2017,"35 to 39 years","Ischaemic Heart Disease",158308.04,15.16
2015,"35 to 39 years","Ischaemic Heart Disease",158196.09,15.69
2016,"35 to 39 years","Ischaemic Heart Disease",156941.15,15.34
2010,"35 to 39 years","Stroke",78192.09,7.66
2011,"35 to 39 years","Stroke",75856.88,7.45
2013,"35 to 39 years","Stroke",74610.31,7.29
2012,"35 to 39 years","Stroke",73795.41,7.27
2014,"35 to 39 years","Stroke",71521.52,7.02
2018,"35 to 39 years","Stroke",70443.24,6.55
2019,"35 to 39 years","Stroke",70026.96,6.37
2015,"35 to 39 years","Stroke",70005.85,6.85
2017,"35 to 39 years","Stroke",69453.38,6.61
2016,"35 to 39 years","Stroke",69205.47,6.69
2010,"35 to 39 years","Acute Lower Respiratory Infections",47527.67,5.98
2013,"35 to 39 years","Acute Lower Respiratory Infections",46411.76,5.57
2011,"35 to 39 years","Acute Lower Respiratory Infections",46352.51,5.75
2019,"35 to 39 years","Acute Lower Respiratory Infections",45601.63,4.83
2012,"35 to 39 years","Acute Lower Respiratory Infections",45596.3,5.59
2018,"35 to 39 years","Acute Lower Respiratory Infections",45492.7,4.93
2014,"35 to 39 years","Acute Lower Respiratory Infections",45275.12,5.39
2016,"35 to 39 years","Acute Lower Respiratory Infections",44625.89,5.12
2017,"35 to 39 years","Acute Lower Respiratory Infections",44247.71,4.96
2015,"35 to 39 years","Acute Lower Respiratory Infections",44222.18,5.18
2010,"35 to 39 years","Chronic Obstructive Pulmonary Disease",28337.01,2.73
2011,"35 to 39 years","Chronic Obstructive Pulmonary Disease",27770.63,2.68
2013,"35 to 39 years","Chronic Obstructive Pulmonary Disease",27514.89,2.63
2012,"35 to 39 years","Chronic Obstructive Pulmonary Disease",27116.12,2.62
2014,"35 to 39 years","Chronic Obstructive Pulmonary Disease",26150.47,2.51
2015,"35 to 39 years","Chronic Obstructive Pulmonary Disease",25725.01,2.46
2018,"35 to 39 years","Chronic Obstructive Pulmonary Disease",25684.94,2.34
2019,"35 to 39 years","Chronic Obstructive Pulmonary Disease",25537.16,2.28
2016,"35 to 39 years","Chronic Obstructive Pulmonary Disease",25086.98,2.38
2017,"35 to 39 years","Chronic Obstructive Pulmonary Disease",24842.09,2.32
2010,"35 to 39 years","Lung Cancer",13028.3,0.98
2013,"35 to 39 years","Lung Cancer",12772.46,0.99
2011,"35 to 39 years","Lung Cancer",12709.37,0.96
2012,"35 to 39 years","Lung Cancer",12108.58,0.93
2014,"35 to 39 years","Lung Cancer",11630.27,0.92
2015,"35 to 39 years","Lung Cancer",11105.18,0.89
2017,"35 to 39 years","Lung Cancer",10695.48,0.85
2016,"35 to 39 years","Lung Cancer",10623.57,0.85
2018,"35 to 39 years","Lung Cancer",10615.35,0.84
2019,"35 to 39 years","Lung Cancer",10486.64,0.81
2013,"40 to 44 years","Ischaemic Heart Disease",263305.02,26.09
2012,"40 to 44 years","Ischaemic Heart Disease",258519.01,26.2
2011,"40 to 44 years","Ischaemic Heart Disease",258339.12,26.59
2010,"40 to 44 years","Ischaemic Heart Disease",257446.07,27.11
2014,"40 to 44 years","Ischaemic Heart Disease",256544.84,25.23
2015,"40 to 44 years","Ischaemic Heart Disease",249085.78,24.49
2016,"40 to 44 years","Ischaemic Heart Disease",248825.07,24.14
2018,"40 to 44 years","Ischaemic Heart Disease",248587.94,23.74
2017,"40 to 44 years","Ischaemic Heart Disease",247893.65,23.79
2019,"40 to 44 years","Ischaemic Heart Disease",244863.93,23.23
2010,"40 to 44 years","Stroke",127469.88,12.3
2013,"40 to 44 years","Stroke",126864.0,11.67
2011,"40 to 44 years","Stroke",125984.15,11.98
2012,"40 to 44 years","Stroke",123990.93,11.68
2014,"40 to 44 years","Stroke",121398.93,11.17
2015,"40 to 44 years","Stroke",117241.06,10.82
2016,"40 to 44 years","Stroke",115149.51,10.58
2017,"40 to 44 years","Stroke",112847.54,10.35
2018,"40 to 44 years","Stroke",109668.86,10.13
2019,"40 to 44 years","Stroke",106134.08,9.81
2013,"40 to 44 years","Acute Lower Respiratory Infections",52164.76,6.5
2010,"40 to 44 years","Acute Lower Respiratory Infections",51705.4,6.97
2014,"40 to 44 years","Acute Lower Respiratory Infections",51035.7,6.26
2011,"40 to 44 years","Acute Lower Respiratory Infections",50923.96,6.71
2012,"40 to 44 years","Acute Lower Respiratory Infections",50605.76,6.53
2016,"40 to 44 years","Acute Lower Respiratory Infections",50322.45,5.96
2018,"40 to 44 years","Acute Lower Respiratory Infections",49694.16,5.67
2015,"40 to 44 years","Acute Lower Respiratory Infections",49634.43,6.01
2017,"40 to 44 years","Acute Lower Respiratory Infections",49127.02,5.72
2019,"40 to 44 years","Acute Lower Respiratory Infections",48870.17,5.49
2013,"40 to 44 years","Chronic Obstructive Pulmonary Disease",41826.29,3.78
2010,"40 to 44 years","Chronic Obstructive Pulmonary Disease",41064.03,3.89
2011,"40 to 44 years","Chronic Obstructive Pulmonary Disease",40896.7,3.82
2012,"40 to 44 years","Chronic Obstructive Pulmonary Disease",40556.94,3.75
2014,"40 to 44 years","Chronic Obstructive Pulmonary Disease",39579.31,3.59
2015,"40 to 44 years","Chronic Obstructive Pulmonary Disease",38281.26,3.48
2016,"40 to 44 years","Chronic Obstructive Pulmonary Disease",37168.96,3.37
2018,"40 to 44 years","Chronic Obstructive Pulmonary Disease",36266.85,3.27
2017,"40 to 44 years","Chronic Obstructive Pulmonary Disease",36228.22,3.27
2019,"40 to 44 years","Chronic Obstructive Pulmonary Disease",35218.11,3.16
2013,"40 to 44 years","Lung Cancer",29860.95,2.1
2011,"40 to 44 years","Lung Cancer",28398.35,2.08
2012,"40 to 44 years","Lung Cancer",27836.65,2.01
2010,"40 to 44 years","Lung Cancer",27776.42,2.06
2014,"40 to 44 years","Lung Cancer",27359.7,1.95
2015,"40 to 44 years","Lung Cancer",25912.34,1.87
2016,"40 to 44 years","Lung Cancer",24330.92,1.78
2017,"40 to 44 years","Lung Cancer",23525.04,1.75
2018,"40 to 44 years","Lung Cancer",22077.13,1.69
2019,"40 to 44 years","Lung Cancer",20905.52,1.62
2013,"45 to 49 years","Ischaemic Heart Disease",397316.25,40.72
2012,"45 to 49 years","Ischaemic Heart Disease",391568.87,41.4
2011,"45 to 49 years","Ischaemic Heart Disease",387449.79,42.21
2010,"45 to 49 years","Ischaemic Heart Disease",382434.74,43.08
2015,"45 to 49 years","Ischaemic Heart Disease",380569.19,38.02
2014,"45 to 49 years","Ischaemic Heart Disease",380465.58,38.56
2016,"45 to 49 years","Ischaemic Heart Disease",377635.25,37.03
2017,"45 to 49 years","Ischaemic Heart Disease",370856.23,35.92
2018,"45 to 49 years","Ischaemic Heart Disease",368624.75,35.38
2019,"45 to 49 years","Ischaemic Heart Disease",362241.13,34.31
2013,"45 to 49 years","Stroke",193022.84,17.65
2012,"45 to 49 years","Stroke",186040.69,17.74
2011,"45 to 49 years","Stroke",183838.06,18.1
2014,"45 to 49 years","Stroke",182199.71,16.55
2010,"45 to 49 years","Stroke",181088.85,18.46
2015,"45 to 49 years","Stroke",179220.0,16.11
2016,"45 to 49 years","Stroke",176135.28,15.6
2017,"45 to 49 years","Stroke",170314.93,14.97
2018,"45 to 49 years","Stroke",164962.63,14.51
2019,"45 to 49 years","Stroke",159998.23,13.94
2013,"45 to 49 years","Chronic Obstructive Pulmonary Disease",71704.99,6.48
2012,"45 to 49 years","Chronic Obstructive Pulmonary Disease",69054.18,6.46
2011,"45 to 49 years","Chronic Obstructive Pulmonary Disease",68590.28,6.59
2010,"45 to 49 years","Chronic Obstructive Pulmonary Disease",67797.81,6.7
2014,"45 to 49 years","Chronic Obstructive Pulmonary Disease",67531.43,6.06
2015,"45 to 49 years","Chronic Obstructive Pulmonary Disease",66744.63,5.92
2016,"45 to 49 years","Chronic Obstructive Pulmonary Disease",64687.47,5.67
2010,"45 to 49 years","Acute Lower Respiratory Infections",63139.86,9.11
2018,"45 to 49 years","Chronic Obstructive Pulmonary Disease",62869.0,5.43
2017,"45 to 49 years","Chronic Obstructive Pulmonary Disease",62760.5,5.46
2011,"45 to 49 years","Acute Lower Respiratory Infections",62001.34,8.69
2013,"45 to 49 years","Acute Lower Respiratory Infections",61684.58,8.08
2019,"45 to 49 years","Chronic Obstructive Pulmonary Disease",61174.6,5.22
2012,"45 to 49 years","Acute Lower Respiratory Infections",60932.99,8.29
2016,"45 to 49 years","Acute Lower Respiratory Infections",59680.28,7.38
2014,"45 to 49 years","Acute Lower Respiratory Infections",59323.95,7.67
2015,"45 to 49 years","Acute Lower Respiratory Infections",58865.26,7.48
2018,"45 to 49 years","Acute Lower Respiratory Infections",57721.97,6.83
2017,"45 to 49 years","Acute Lower Respiratory Infections",57374.21,6.98
2013,"45 to 49 years","Lung Cancer",56531.94,4.11
2019,"45 to 49 years","Acute Lower Respiratory Infections",56466.08,6.53
2012,"45 to 49 years","Lung Cancer",51536.21,3.94
2014,"45 to 49 years","Lung Cancer",51510.09,3.74
2011,"45 to 49 years","Lung Cancer",50448.64,4.0
2015,"45 to 49 years","Lung Cancer",49471.4,3.56
2010,"45 to 49 years","Lung Cancer",47956.35,3.96
2016,"45 to 49 years","Lung Cancer",46923.22,3.34
2017,"45 to 49 years","Lung Cancer",45481.65,3.23
2018,"45 to 49 years","Lung Cancer",42653.63,3.07
2019,"45 to 49 years","Lung Cancer",40818.66,2.92
2010,"5 to 9 years","Acute Lower Respiratory Infections",144116.5,12.91
2011,"5 to 9 years","Acute Lower Respiratory Infections",139134.79,12.29
2012,"5 to 9 years","Acute Lower Respiratory Infections",138290.02,12.02
2013,"5 to 9 years","Acute Lower Respiratory Infections",134077.87,11.56
2014,"5 to 9 years","Acute Lower Respiratory Infections",126181.83,10.82
2015,"5 to 9 years","Acute Lower Respiratory Infections",123520.71,10.4
2016,"5 to 9 years","Acute Lower Respiratory Infections",118506.25,9.81
2017,"5 to 9 years","Acute Lower Respiratory Infections",116269.63,9.49
2018,"5 to 9 years","Acute Lower Respiratory Infections",114934.21,9.22
2019,"5 to 9 years","Acute Lower Respiratory Infections",110313.36,8.8
2015,"50 to 54 years","Ischaemic Heart Disease",529347.38,54.74
2016,"50 to 54 years","Ischaemic Heart Disease",519245.13,52.54
2014,"50 to 54 years","Ischaemic Heart Disease",518708.87,55.08
2018,"50 to 54 years","Ischaemic Heart Disease",516549.11,50.08
2013,"50 to 54 years","Ischaemic Heart Disease",513244.81,56.15
2017,"50 to 54 years","Ischaemic Heart Disease",511616.81,50.73
2019,"50 to 54 years","Ischaemic Heart Disease",507660.47,48.2
2012,"50 to 54 years","Ischaemic Heart Disease",494037.6,56.21
2011,"50 to 54 years","Ischaemic Heart Disease",484997.93,56.89
2010,"50 to 54 years","Ischaemic Heart Disease",478677.98,57.92
2015,"50 to 54 years","Stroke",254986.91,23.88
2013,"50 to 54 years","Stroke",254127.01,25.08
2016,"50 to 54 years","Stroke",252499.53,23.02
2014,"50 to 54 years","Stroke",251304.34,24.2
2017,"50 to 54 years","Stroke",249867.91,22.2
2018,"50 to 54 years","Stroke",248848.64,21.68
2019,"50 to 54 years","Stroke",244652.04,20.81
2012,"50 to 54 years","Stroke",242204.28,24.99
2011,"50 to 54 years","Stroke",238263.09,25.36
2010,"50 to 54 years","Stroke",235274.82,25.78
2015,"50 to 54 years","Chronic Obstructive Pulmonary Disease",113579.55,10.22
2013,"50 to 54 years","Chronic Obstructive Pulmonary Disease",113307.68,10.71
2014,"50 to 54 years","Chronic Obstructive Pulmonary Disease",112103.15,10.35
2016,"50 to 54 years","Chronic Obstructive Pulmonary Disease",109751.55,9.69
2018,"50 to 54 years","Chronic Obstructive Pulmonary Disease",109359.88,9.28
2017,"50 to 54 years","Chronic Obstructive Pulmonary Disease",107431.59,9.3
2012,"50 to 54 years","Chronic Obstructive Pulmonary Disease",106911.02,10.53
2019,"50 to 54 years","Chronic Obstructive Pulmonary Disease",106369.03,8.83
2011,"50 to 54 years","Chronic Obstructive Pulmonary Disease",106019.73,10.71
2010,"50 to 54 years","Chronic Obstructive Pulmonary Disease",105199.57,10.89
2013,"50 to 54 years","Lung Cancer",77636.35,6.15
2015,"50 to 54 years","Acute Lower Respiratory Infections",76133.54,9.65
2016,"50 to 54 years","Acute Lower Respiratory Infections",75867.37,9.37
2014,"50 to 54 years","Acute Lower Respiratory Infections",74984.62,9.8
2013,"50 to 54 years","Acute Lower Respiratory Infections",74111.94,10.05
2018,"50 to 54 years","Acute Lower Respiratory Infections",73910.89,8.7
2014,"50 to 54 years","Lung Cancer",73624.38,5.73
2015,"50 to 54 years","Lung Cancer",73423.59,5.56
2017,"50 to 54 years","Acute Lower Respiratory Infections",73201.02,8.88
2019,"50 to 54 years","Acute Lower Respiratory Infections",72156.31,8.33
2017,"50 to 54 years","Lung Cancer",71937.62,5.14
2010,"50 to 54 years","Acute Lower Respiratory Infections",71346.56,10.83
2016,"50 to 54 years","Lung Cancer",71291.19,5.25
2012,"50 to 54 years","Lung Cancer",71157.41,5.93
2011,"50 to 54 years","Acute Lower Respiratory Infections",71119.97,10.48
2012,"50 to 54 years","Acute Lower Respiratory Infections",70959.39,10.14
2018,"50 to 54 years","Lung Cancer",70435.58,4.98
2011,"50 to 54 years","Lung Cancer",70392.86,6.06
2019,"50 to 54 years","Lung Cancer",68875.63,4.73
2010,"50 to 54 years","Lung Cancer",68305.27,6.05
2016,"55 to 59 years","Ischaemic Heart Disease",642096.84,65.8
2018,"55 to 59 years","Ischaemic Heart Disease",641111.62,62.79
2015,"55 to 59 years","Ischaemic Heart Disease",640173.17,67.29
2017,"55 to 59 years","Ischaemic Heart Disease",637940.57,63.81
2019,"55 to 59 years","Ischaemic Heart Disease",634932.34,60.65
2013,"55 to 59 years","Ischaemic Heart Disease",621488.08,68.47
2014,"55 to 59 years","Ischaemic Heart Disease",618858.83,66.9
2012,"55 to 59 years","Ischaemic Heart Disease",616332.21,69.68
2011,"55 to 59 years","Ischaemic Heart Disease",601992.92,70.09
2010,"55 to 59 years","Ischaemic Heart Disease",586379.66,70.95
2013,"55 to 59 years","Stroke",321269.07,31.02
2012,"55 to 59 years","Stroke",316507.59,31.25
2011,"55 to 59 years","Stroke",312940.33,31.51
2015,"55 to 59 years","Stroke",311924.69,29.47
2016,"55 to 59 years","Stroke",310392.33,28.68
2014,"55 to 59 years","Stroke",308582.66,29.71
2010,"55 to 59 years","Stroke",307953.39,32.0
2017,"55 to 59 years","Stroke",307362.2,27.71
2018,"55 to 59 years","Stroke",306006.26,27.03
2019,"55 to 59 years","Stroke",303913.75,26.04
2013,"55 to 59 years","Chronic Obstructive Pulmonary Disease",164971.6,15.21
2012,"55 to 59 years","Chronic Obstructive Pulmonary Disease",161827.26,15.25
2015,"55 to 59 years","Chronic Obstructive Pulmonary Disease",160108.53,14.38
2011,"55 to 59 years","Chronic Obstructive Pulmonary Disease",159669.37,15.35
2014,"55 to 59 years","Chronic Obstructive Pulmonary Disease",157359.03,14.43
2016,"55 to 59 years","Chronic Obstructive Pulmonary Disease",156719.2,13.81
2010,"55 to 59 years","Chronic Obstructive Pulmonary Disease",156310.21,15.49
2018,"55 to 59 years","Chronic Obstructive Pulmonary Disease",154690.93,13.08
2017,"55 to 59 years","Chronic Obstructive Pulmonary Disease",153625.61,13.26
2019,"55 to 59 years","Chronic Obstructive Pulmonary Disease",151019.58,12.43
2013,"55 to 59 years","Lung Cancer",109540.0,8.36
2012,"55 to 59 years","Lung Cancer",103132.64,8.04
2011,"55 to 59 years","Lung Cancer",102890.17,8.15
2014,"55 to 59 years","Lung Cancer",100073.58,7.71
2015,"55 to 59 years","Lung Cancer",98168.54,7.49
2010,"55 to 59 years","Lung Cancer",97554.53,7.97
2017,"55 to 59 years","Lung Cancer",94890.64,6.92
2016,"55 to 59 years","Lung Cancer",94505.55,7.08
2018,"55 to 59 years","Lung Cancer",92563.79,6.65
2019,"55 to 59 years","Lung Cancer",90851.35,6.29
2016,"55 to 59 years","Acute Lower Respiratory Infections",89639.6,11.17
2018,"55 to 59 years","Acute Lower Respiratory Infections",88444.67,10.48
2015,"55 to 59 years","Acute Lower Respiratory Infections",88121.76,11.33
2017,"55 to 59 years","Acute Lower Respiratory Infections",87464.14,10.68
2019,"55 to 59 years","Acute Lower Respiratory Infections",87001.15,10.07
2013,"55 to 59 years","Acute Lower Respiratory Infections",86053.5,11.71
2014,"55 to 59 years","Acute Lower Respiratory Infections",85511.42,11.37
2012,"55 to 59 years","Acute Lower Respiratory Infections",83986.27,11.89
2011,"55 to 59 years","Acute Lower Respiratory Infections",82548.18,12.08
2010,"55 to 59 years","Acute Lower Respiratory Infections",81467.86,12.37
2018,"60 to 64 years","Ischaemic Heart Disease",717148.48,70.88
2015,"60 to 64 years","Ischaemic Heart Disease",716965.56,75.56
2016,"60 to 64 years","Ischaemic Heart Disease",716921.44,73.56
2017,"60 to 64 years","Ischaemic Heart Disease",710956.85,71.48
2019,"60 to 64 years","Ischaemic Heart Disease",709509.34,68.66
2014,"60 to 64 years","Ischaemic Heart Disease",691096.89,75.26
2013,"60 to 64 years","Ischaemic Heart Disease",681090.1,76.74
2012,"60 to 64 years","Ischaemic Heart Disease",658595.29,78.08
2011,"60 to 64 years","Ischaemic Heart Disease",629270.56,78.13
2010,"60 to 64 years","Ischaemic Heart Disease",599970.44,78.42
2013,"60 to 64 years","Stroke",400975.23,38.42
2015,"60 to 64 years","Stroke",400513.5,36.28
2016,"60 to 64 years","Stroke",396749.64,35.2
2014,"60 to 64 years","Stroke",394740.28,36.73
2017,"60 to 64 years","Stroke",388491.91,34.05
2018,"60 to 64 years","Stroke",381147.56,33.32
2012,"60 to 64 years","Stroke",377864.72,38.65
2019,"60 to 64 years","Stroke",373895.86,32.14
