Geo group,Geo group member,Year,Sex,Age group,GHE Cause,Mean value,Mean lower value,Mean upper value,Mean value [95% CI],Age-standardized rate,Age-standardized rate lower value,Age-standardized rate upper value,Age-standardized rate [95% CI]
Global,Global,2019,Female,55 to 59 years,Acute Lower Respiratory Infections,237728.181,144946.714,343775.107,237 728 [144 947 - 343 775],5.724,3.49,8.277,5.72 [3.49 - 8.28]
Global,Global,2019,Female,55 to 59 years,Lung Cancer,175524.381,102727.67,267205.7,175 524 [102 728 - 267 206],4.226,2.474,6.434,4.23 [2.47 - 6.43]
Global,Global,2019,Female,50 to 54 years,Ischaemic Heart Disease,1078346.116,716207.16,1389275.759,1 078 346 [716 207 - 1 389 276],26.582,17.655,34.246,26.58 [17.66 - 34.25]
Global,Global,2019,Female,50 to 54 years,Stroke,709303.328,359878.675,1112163.344,709 303 [359 879 - 1 112 163],17.485,8.871,27.415,17.49 [8.87 - 27.42]
Global,Global,2019,Female,50 to 54 years,Chronic Obstructive Pulmonary Disease,308361.573,120586.582,583483.496,308 362 [120 587 - 583 483],7.601,2.973,14.383,7.60 [2.97 - 14.38]
Global,Global,2019,Female,50 to 54 years,Acute Lower Respiratory Infections,205703.318,125653.116,296799.608,205 703 [125 653 - 296 800],5.071,3.097,7.316,5.07 [3.10 - 7.32]
Global,Global,2019,Female,50 to 54 years,Lung Cancer,144833.911,85957.462,217857.192,144 834 [85 957 - 217 857],3.57,2.119,5.37,3.57 [2.12 - 5.37]
Global,Global,2019,Female,45 to 49 years,Ischaemic Heart Disease,707627.569,469735.833,911987.613,707 628 [469 736 - 911 988],18.157,12.053,23.4,18.16 [12.05 - 23.40]
Global,Global,2019,Female,45 to 49 years,Stroke,447816.871,225821.978,704558.476,447 817 [225 822 - 704 558],11.49,5.794,18.078,11.49 [5.79 - 18.08]
Global,Global,2019,Female,45 to 49 years,Chronic Obstructive Pulmonary Disease,178024.593,69049.784,337543.227,178 025 [69 050 - 337 543],4.568,1.772,8.661,4.57 [1.77 - 8.66]
Global,Global,2019,Female,45 to 49 years,Acute Lower Respiratory Infections,140285.63,83863.37,204652.371,140 286 [83 863 - 204 652],3.599,2.152,5.251,3.60 [2.15 - 5.25]
Global,Global,2019,Female,45 to 49 years,Lung Cancer,89938.009,53447.957,135076.67,89 938 [53 448 - 135 077],2.308,1.371,3.466,2.31 [1.37 - 3.47]
Global,Global,2019,Female,40 to 44 years,Ischaemic Heart Disease,478248.524,318889.313,615316.702,478 249 [318 889 - 615 317],13.081,8.722,16.83,13.08 [8.72 - 16.83]
Global,Global,2019,Female,40 to 44 years,Stroke,290506.622,146110.928,458820.031,290 507 [146 111 - 458 820],7.946,3.996,12.55,7.95 [4.00 - 12.55]
Global,Global,2019,Female,40 to 44 years,Acute Lower Respiratory Infections,133030.258,79160.984,194277.826,133 030 [79 161 - 194 278],3.639,2.165,5.314,3.64 [2.17 - 5.31]
Global,Global,2019,Female,40 to 44 years,Chronic Obstructive Pulmonary Disease,105649.405,40520.193,201182.088,105 649 [40 520 - 201 182],2.89,1.108,5.503,2.89 [1.11 - 5.50]
Global,Global,2019,Female,40 to 44 years,Lung Cancer,53454.706,31933.585,79928.957,53 455 [31 934 - 79 929],1.462,0.873,2.186,1.46 [0.87 - 2.19]
Global,Global,2019,Female,35 to 39 years,Ischaemic Heart Disease,308905.115,206199.796,397278.076,308 905 [206 200 - 397 278],8.457,5.645,10.877,8.46 [5.65 - 10.88]
Global,Global,2019,Female,35 to 39 years,Stroke,193090.16,96644.971,305831.355,193 090 [96 645 - 305 831],5.286,2.646,8.373,5.29 [2.65 - 8.37]
Global,Global,2019,Female,35 to 39 years,Acute Lower Respiratory Infections,129367.065,76734.368,189036.462,129 367 [76 734 - 189 036],3.542,2.101,5.176,3.54 [2.10 - 5.18]
Global,Global,2019,Female,35 to 39 years,Chronic Obstructive Pulmonary Disease,82060.031,31148.993,156667.015,82 060 [31 149 - 156 667],2.247,0.853,4.289,2.25 [0.85 - 4.29]
Global,Global,2019,Female,35 to 39 years,Lung Cancer,27790.13,16614.399,41520.545,27 790 [16 614 - 41 521],0.761,0.455,1.137,0.76 [0.46 - 1.14]
Global,Global,2019,Female,30 to 34 years,Ischaemic Heart Disease,203437.525,135964.965,261360.756,203 438 [135 965 - 261 361],5.3,3.542,6.809,5.30 [3.54 - 6.81]
Global,Global,2019,Female,30 to 34 years,Stroke,132619.464,66667.671,209687.339,132 619 [66 668 - 209 687],3.455,1.737,5.463,3.46 [1.74 - 5.46]
Global,Global,2019,Female,30 to 34 years,Acute Lower Respiratory Infections,111339.116,64686.21,163861.457,111 339 [64 686 - 163 861],2.901,1.685,4.269,2.90 [1.69 - 4.27]
Global,Global,2019,Female,30 to 34 years,Chronic Obstructive Pulmonary Disease,70326.7,26681.576,133931.98,70 327 [26 682 - 133 932],1.832,0.695,3.489,1.83 [0.70 - 3.49]
Global,Global,2019,Female,30 to 34 years,Lung Cancer,17067.711,10282.762,25342.696,17 068 [10 283 - 25 343],0.445,0.268,0.66,0.45 [0.27 - 0.66]
Global,Global,2019,Female,25 to 29 years,Ischaemic Heart Disease,122362.81,82166.319,156842.26,122 363 [82 166 - 156 842],3.355,2.253,4.3,3.36 [2.25 - 4.30]
Global,Global,2019,Female,25 to 29 years,Acute Lower Respiratory Infections,108264.712,63955.731,157807.214,108 265 [63 956 - 157 807],2.968,1.754,4.327,2.97 [1.75 - 4.33]
Global,Global,2019,Female,25 to 29 years,Stroke,91417.446,46002.08,144558.878,91 417 [46 002 - 144 559],2.506,1.261,3.963,2.51 [1.26 - 3.96]
Global,Global,2019,Female,25 to 29 years,Chronic Obstructive Pulmonary Disease,53966.495,20329.035,103049.748,53 966 [20 329 - 103 050],1.48,0.557,2.825,1.48 [0.56 - 2.83]
Global,Global,2019,Female,25 to 29 years,Lung Cancer,7916.291,4752.362,11788.299,7 916 [4 752 - 11 788],0.217,0.13,0.323,0.22 [0.13 - 0.32]
Global,Global,2019,Female,20 to 24 years,Acute Lower Respiratory Infections,94148.152,56132.134,136680.034,94 148 [56 132 - 136 680],2.693,1.606,3.91,2.69 [1.61 - 3.91]
Global,Global,2019,Female,15 to 19 years,Acute Lower Respiratory Infections,96303.639,57296.203,139799.578,96 304 [57 296 - 139 800],2.787,1.658,4.046,2.79 [1.66 - 4.05]
Global,Global,2019,Female,10 to 14 years,Acute Lower Respiratory Infections,203271.891,117935.399,298438.67,203 272 [117 935 - 298 439],5.713,3.314,8.387,5.71 [3.31 - 8.39]
Global,Global,2019,Female,5 to 9 years,Acute Lower Respiratory Infections,409326.199,237876.225,600105.968,409 326 [237 876 - 600 106],11.156,6.483,16.355,11.16 [6.48 - 16.36]
Global,Global,2019,Female,0 to 4 years,Acute Lower Respiratory Infections,8144060.984,5027488.216,11640358.06,8 144 061 [5 027 488 - 11 640 358],219.877,135.734,314.271,219.88 [135.73 - 314.27]
Global,Global,2019,Male,80 years and over,Ischaemic Heart Disease,2979801.424,1916811.592,3883860.032,2 979 801 [1 916 812 - 3 883 860],84.426,54.309,110.041,84.43 [54.31 - 110.04]
Global,Global,2019,Male,80 years and over,Stroke,1423915.44,714404.26,2235988.117,1 423 915 [714 404 - 2 235 988],40.344,20.241,63.352,40.34 [20.24 - 63.35]
Global,Global,2019,Male,80 years and over,Chronic Obstructive Pulmonary Disease,1392318.012,532058.684,2667877.478,1 392 318 [532 059 - 2 667 877],39.448,15.075,75.588,39.45 [15.08 - 75.59]
Global,Global,2019,Male,80 years and over,Acute Lower Respiratory Infections,662004.341,386835.011,984677.087,662 004 [386 835 - 984 677],18.756,10.96,27.899,18.76 [10.96 - 27.90]
Global,Global,2019,Male,80 years and over,Lung Cancer,218374.621,126932.634,334323.887,218 375 [126 933 - 334 324],6.187,3.596,9.472,6.19 [3.60 - 9.47]
Global,Global,2019,Male,75 to 79 years,Ischaemic Heart Disease,2059279.02,1336743.408,2676559.487,2 059 279 [1 336 743 - 2 676 559],59.471,38.604,77.297,59.47 [38.60 - 77.30]
Global,Global,2019,Male,75 to 79 years,Stroke,1176617.699,596473.58,1838036.381,1 176 618 [596 474 - 1 838 036],33.98,17.226,53.081,33.98 [17.23 - 53.08]
Global,Global,2019,Male,75 to 79 years,Chronic Obstructive Pulmonary Disease,1021107.656,397278.743,1936496.992,1 021 108 [397 279 - 1 936 497],29.489,11.473,55.925,29.49 [11.47 - 55.93]
Global,Global,2019,Male,75 to 79 years,Acute Lower Respiratory Infections,405613.113,245062.381,589357.496,405 613 [245 062 - 589 357],11.714,7.077,17.02,11.71 [7.08 - 17.02]
Global,Global,2019,Male,75 to 79 years,Lung Cancer,269532.578,158244.562,409231.752,269 533 [158 245 - 409 232],7.784,4.57,11.818,7.78 [4.57 - 11.82]
Global,Global,2019,Male,70 to 74 years,Ischaemic Heart Disease,2609514.679,1694316.789,3393339.308,2 609 515 [1 694 317 - 3 393 339],70.275,45.629,91.384,70.28 [45.63 - 91.38]
Global,Global,2019,Male,70 to 74 years,Stroke,1457187.429,740104.874,2275590.486,1 457 187 [740 105 - 2 275 590],39.243,19.931,61.283,39.24 [19.93 - 61.28]
Global,Global,2019,Male,70 to 74 years,Chronic Obstructive Pulmonary Disease,1175019.231,457296.962,2228879.795,1 175 019 [457 297 - 2 228 880],31.644,12.315,60.025,31.64 [12.32 - 60.03]
Global,Global,2019,Male,70 to 74 years,Acute Lower Respiratory Infections,465909.094,281763.073,675970.64,465 909 [281 763 - 675 971],12.547,7.588,18.204,12.55 [7.59 - 18.20]
Global,Global,2019,Male,70 to 74 years,Lung Cancer,428568.233,251894.583,649998.037,428 568 [251 895 - 649 998],11.541,6.784,17.505,11.54 [6.78 - 17.51]
Global,Global,2019,Male,65 to 69 years,Ischaemic Heart Disease,3251035.507,2117719.98,4224660.222,3 251 036 [2 117 720 - 4 224 660],77.979,50.795,101.332,77.98 [50.80 - 101.33]
Global,Global,2019,Male,65 to 69 years,Stroke,1718683.786,873792.322,2682204.008,1 718 684 [873 792 - 2 682 204],41.224,20.959,64.335,41.22 [20.96 - 64.34]
Global,Global,2019,Male,65 to 69 years,Chronic Obstructive Pulmonary Disease,1168830.74,458305.844,2211081.281,1 168 831 [458 306 - 2 211 081],28.035,10.993,53.035,28.04 [10.99 - 53.04]
Global,Global,2019,Male,65 to 69 years,Lung Cancer,585166.597,345567.868,883733.285,585 167 [345 568 - 883 733],14.036,8.289,21.197,14.04 [8.29 - 21.20]
Global,Global,2019,Male,65 to 69 years,Acute Lower Respiratory Infections,487862.181,296135.13,706128.234,487 862 [296 135 - 706 128],11.702,7.103,16.937,11.70 [7.10 - 16.94]
Global,Global,2019,Male,60 to 64 years,Ischaemic Heart Disease,3263446.934,2127697.461,4241593.327,3 263 447 [2 127 697 - 4 241 593],79.662,51.938,103.539,79.66 [51.94 - 103.54]
Global,Global,2019,Male,60 to 64 years,Stroke,1522746.107,771099.822,2383850.972,1 522 746 [771 100 - 2 383 851],37.171,18.823,58.191,37.17 [18.82 - 58.19]
Global,Global,2019,Male,60 to 64 years,Chronic Obstructive Pulmonary Disease,919309.297,359158.679,1743001.901,919 309 [359 159 - 1 743 002],22.441,8.767,42.547,22.44 [8.77 - 42.55]
Global,Global,2019,Male,60 to 64 years,Lung Cancer,544184.568,320087.075,824877.264,544 185 [320 087 - 824 877],13.284,7.814,20.136,13.28 [7.81 - 20.14]
Global,Global,2019,Male,60 to 64 years,Acute Lower Respiratory Infections,455855.079,273010.71,664240.644,455 855 [273 011 - 664 241],11.128,6.664,16.214,11.13 [6.66 - 16.21]
Global,Global,2019,Male,55 to 59 years,Ischaemic Heart Disease,3077022.511,2020460.076,3986117.028,3 077 023 [2 020 460 - 3 986 117],75.432,49.531,97.719,75.43 [49.53 - 97.72]
Global,Global,2019,Male,55 to 59 years,Stroke,1262255.468,640487.135,1974018.164,1 262 255 [640 487 - 1 974 018],30.944,15.701,48.393,30.94 [15.70 - 48.39]
Global,Global,2019,Male,55 to 59 years,Chronic Obstructive Pulmonary Disease,645064.169,252262.177,1222068.928,645 064 [252 262 - 1 222 069],15.814,6.184,29.959,15.81 [6.18 - 29.96]
Global,Global,2019,Male,55 to 59 years,Lung Cancer,460435.075,271690.738,696128.297,460 435 [271 691 - 696 128],11.287,6.66,17.065,11.29 [6.66 - 17.07]
Global,Global,2019,Male,55 to 59 years,Acute Lower Respiratory Infections,371279.886,218427.954,546106.525,371 280 [218 428 - 546 107],9.102,5.355,13.388,9.10 [5.36 - 13.39]
Global,Global,2019,Male,50 to 54 years,Ischaemic Heart Disease,2475277.182,1633242.474,3197181.902,2 475 277 [1 633 242 - 3 197 182],61.168,40.36,79.008,61.17 [40.36 - 79.01]
Global,Global,2019,Male,50 to 54 years,Stroke,1003260.92,510199.777,1566047.869,1 003 261 [510 200 - 1 566 048],24.792,12.608,38.7,24.79 [12.61 - 38.70]
Global,Global,2019,Male,50 to 54 years,Chronic Obstructive Pulmonary Disease,436221.657,170793.907,823861.95,436 222 [170 794 - 823 862],10.78,4.221,20.359,10.78 [4.22 - 20.36]
Global,Global,2019,Male,50 to 54 years,Lung Cancer,337295.517,200672.948,506249.472,337 296 [200 673 - 506 249],8.335,4.959,12.51,8.34 [4.96 - 12.51]
Global,Global,2019,Male,50 to 54 years,Acute Lower Respiratory Infections,299390.865,174340.671,441795.604,299 391 [174 341 - 441 796],7.398,4.308,10.918,7.40 [4.31 - 10.92]
Global,Global,2019,Male,45 to 49 years,Ischaemic Heart Disease,1828060.327,1210087.884,2358288.666,1 828 060 [1 210 088 - 2 358 289],46.313,30.657,59.746,46.31 [30.66 - 59.75]
Global,Global,2019,Male,45 to 49 years,Stroke,672170.73,341000.141,1050970.117,672 171 [341 000 - 1 050 970],17.029,8.639,26.626,17.03 [8.64 - 26.63]
Global,Global,2019,Male,45 to 49 years,Acute Lower Respiratory Infections,254976.911,146346.74,378981.688,254 977 [146 347 - 378 982],6.46,3.708,9.601,6.46 [3.71 - 9.60]
Global,Global,2019,Male,45 to 49 years,Chronic Obstructive Pulmonary Disease,250197.573,97335.421,473667.391,250 198 [97 335 - 473 667],6.339,2.466,12,6.34 [2.47 - 12.00]
Global,Global,2019,Male,45 to 49 years,Lung Cancer,195792.584,116797.205,293239.71,195 793 [116 797 - 293 240],4.96,2.959,7.429,4.96 [2.96 - 7.43]
Global,Global,2019,Male,40 to 44 years,Ischaemic Heart Disease,1235798.974,820004.37,1592766.496,1 235 799 [820 004 - 1 592 766],33.108,21.969,42.672,33.11 [21.97 - 42.67]
Global,Global,2019,Male,40 to 44 years,Stroke,452431.973,228970.971,708992.487,452 432 [228 971 - 708 992],12.121,6.134,18.994,12.12 [6.13 - 18.99]
Global,Global,2019,Male,40 to 44 years,Acute Lower Respiratory Infections,209060.942,119713.387,311217.517,209 061 [119 713 - 311 218],5.601,3.207,8.338,5.60 [3.21 - 8.34]
Global,Global,2019,Male,40 to 44 years,Chronic Obstructive Pulmonary Disease,140877.386,54387.296,267235.254,140 877 [54 387 - 267 235],3.774,1.457,7.16,3.77 [1.46 - 7.16]
Global,Global,2019,Male,40 to 44 years,Lung Cancer,92883.95,55558.451,138749.601,92 884 [55 558 - 138 750],2.488,1.488,3.717,2.49 [1.49 - 3.72]
Global,Global,2019,Male,35 to 39 years,Ischaemic Heart Disease,851099.996,567321.51,1094700.464,851 100 [567 322 - 1 094 700],22.633,15.087,29.111,22.63 [15.09 - 29.11]
Global,Global,2019,Male,35 to 39 years,Stroke,297098.586,151080.317,465058.408,297 099 [151 080 - 465 058],7.901,4.018,12.367,7.90 [4.02 - 12.37]
Global,Global,2019,Male,35 to 39 years,Acute Lower Respiratory Infections,189844.33,110114.938,280711.293,189 844 [110 115 - 280 711],5.048,2.928,7.465,5.05 [2.93 - 7.47]
Global,Global,2019,Male,35 to 39 years,Chronic Obstructive Pulmonary Disease,96700.077,37191.023,183790.062,96 700 [37 191 - 183 790],2.571,0.989,4.888,2.57 [0.99 - 4.89]
Global,Global,2019,Male,35 to 39 years,Lung Cancer,45616.356,27439.868,67840.551,45 616 [27 440 - 67 841],1.213,0.73,1.804,1.21 [0.73 - 1.80]
Global,Global,2019,Male,30 to 34 years,Ischaemic Heart Disease,554850.355,371160.321,711997.611,554 850 [371 160 - 711 998],13.879,9.284,17.81,13.88 [9.28 - 17.81]
Global,Global,2019,Male,30 to 34 years,Stroke,208352.08,106323.832,325618.303,208 352 [106 324 - 325 618],5.212,2.66,8.145,5.21 [2.66 - 8.15]
Global,Global,2019,Male,30 to 34 years,Acute Lower Respiratory Infections,162069.188,94312.91,238442.216,162 069 [94 313 - 238 442],4.054,2.359,5.964,4.05 [2.36 - 5.96]
Global,Global,2019,Male,30 to 34 years,Chronic Obstructive Pulmonary Disease,77827.788,29691.225,147988.752,77 828 [29 691 - 147 989],1.947,0.743,3.702,1.95 [0.74 - 3.70]
Global,Global,2019,Male,30 to 34 years,Lung Cancer,28265.12,17103.729,41789.096,28 265 [17 104 - 41 789],0.707,0.428,1.045,0.71 [0.43 - 1.05]
Global,Global,2019,Male,25 to 29 years,Ischaemic Heart Disease,283127.41,189428.884,363196.01,283 127 [189 429 - 363 196],7.338,4.91,9.413,7.34 [4.91 - 9.41]
Global,Global,2019,Male,25 to 29 years,Acute Lower Respiratory Infections,142461.546,83141.656,209000.881,142 462 [83 142 - 209 001],3.692,2.155,5.417,3.69 [2.16 - 5.42]
Global,Global,2019,Male,25 to 29 years,Stroke,130059.133,66087.636,204292.419,130 059 [66 088 - 204 292],3.371,1.713,5.295,3.37 [1.71 - 5.30]
Global,Global,2019,Male,25 to 29 years,Chronic Obstructive Pulmonary Disease,57982.984,22030.279,110372.729,57 983 [22 030 - 110 373],1.503,0.571,2.86,1.50 [0.57 - 2.86]
Global,Global,2019,Male,25 to 29 years,Lung Cancer,13096.519,7890.376,19453.556,13 097 [7 890 - 19 454],0.339,0.204,0.504,0.34 [0.20 - 0.50]
Global,Global,2019,Male,20 to 24 years,Acute Lower Respiratory Infections,124415.013,72664.334,182469.759,124 415 [72 664 - 182 470],3.339,1.95,4.898,3.34 [1.95 - 4.90]
Global,Global,2019,Male,15 to 19 years,Acute Lower Respiratory Infections,117770.977,69544.247,171644.176,117 771 [69 544 - 171 644],3.183,1.879,4.638,3.18 [1.88 - 4.64]
Global,Global,2019,Male,10 to 14 years,Acute Lower Respiratory Infections,219802.617,126419.049,324200.836,219 803 [126 419 - 324 201],5.769,3.318,8.509,5.77 [3.32 - 8.51]
Global,Global,2019,Male,5 to 9 years,Acute Lower Respiratory Infections,362867.354,211343.626,531814.362,362 867 [211 344 - 531 814],9.265,5.396,13.579,9.27 [5.40 - 13.58]
Global,Global,2019,Male,0 to 4 years,Acute Lower Respiratory Infections,9870044.047,6023069.162,14183645.44,9 870 044 [6 023 069 - 14 183 645],250.354,152.776,359.769,250.35 [152.78 - 359.77]
Global,Global,2018,Female,80 years and over,Ischaemic Heart Disease,3814694.867,2431438.22,5000082.882,3 814 695 [2 431 438 - 5 000 083],69.427,44.252,91.001,69.43 [44.25 - 91.00]
Global,Global,2018,Female,80 years and over,Stroke,1900575.003,941461.485,3013492.778,1 900 575 [941 461 - 3 013 493],34.59,17.135,54.846,34.59 [17.14 - 54.85]
Global,Global,2018,Female,80 years and over,Chronic Obstructive Pulmonary Disease,1371477.765,535423.478,2607001.184,1 371 478 [535 423 - 2 607 001],24.961,9.745,47.447,24.96 [9.75 - 47.45]
Global,Global,2018,Female,80 years and over,Acute Lower Respiratory Infections,747822.873,430777.412,1116746.169,747 823 [430 777 - 1 116 746],13.61,7.84,20.325,13.61 [7.84 - 20.33]
Global,Global,2018,Female,80 years and over,Lung Cancer,127930.433,74696.268,195511.821,127 930 [74 696 - 195 512],2.328,1.359,3.558,2.33 [1.36 - 3.56]
Global,Global,2018,Female,75 to 79 years,Ischaemic Heart Disease,1897967.44,1230873.454,2473326.284,1 897 967 [1 230 873 - 2 473 326],44.187,28.657,57.583,44.19 [28.66 - 57.58]
Global,Global,2018,Female,75 to 79 years,Stroke,1199885.416,607607.988,1886540.126,1 199 885 [607 608 - 1 886 540],27.935,14.146,43.921,27.94 [14.15 - 43.92]
Global,Global,2018,Female,75 to 79 years,Chronic Obstructive Pulmonary Disease,794935.538,318164.323,1490774.283,794 936 [318 164 - 1 490 774],18.507,7.407,34.707,18.51 [7.41 - 34.71]
Global,Global,2018,Female,75 to 79 years,Acute Lower Respiratory Infections,361317.018,222403.834,518372.702,361 317 [222 404 - 518 373],8.412,5.178,12.068,8.41 [5.18 - 12.07]
Global,Global,2018,Female,75 to 79 years,Lung Cancer,126536.334,74483.004,192072.475,126 536 [74 483 - 192 072],2.946,1.734,4.472,2.95 [1.73 - 4.47]
Global,Global,2018,Female,70 to 74 years,Ischaemic Heart Disease,1890146.765,1238983.921,2448702.318,1 890 147 [1 238 984 - 2 448 702],45.758,29.994,59.28,45.76 [29.99 - 59.28]
Global,Global,2018,Female,70 to 74 years,Stroke,1261477.292,645357.159,1974647.394,1 261 477 [645 357 - 1 974 647],30.539,15.623,47.804,30.54 [15.62 - 47.80]
Global,Global,2018,Female,70 to 74 years,Chronic Obstructive Pulmonary Disease,848010.519,341458.137,1586585.554,848 011 [341 458 - 1 586 586],20.529,8.266,38.409,20.53 [8.27 - 38.41]
Global,Global,2018,Female,70 to 74 years,Acute Lower Respiratory Infections,398292.573,251398.389,563825.786,398 293 [251 398 - 563 826],9.642,6.086,13.65,9.64 [6.09 - 13.65]
Global,Global,2018,Female,70 to 74 years,Lung Cancer,176931.452,104199.313,268414.008,176 931 [104 199 - 268 414],4.283,2.522,6.498,4.28 [2.52 - 6.50]
Global,Global,2018,Female,65 to 69 years,Ischaemic Heart Disease,1969811.878,1296431.485,2549205.958,1 969 812 [1 296 431 - 2 549 206],45.081,29.67,58.341,45.08 [29.67 - 58.34]
Global,Global,2018,Female,65 to 69 years,Stroke,1308939.537,673054.471,2046359.505,1 308 940 [673 054 - 2 046 360],29.956,15.403,46.833,29.96 [15.40 - 46.83]
Global,Global,2018,Female,65 to 69 years,Chronic Obstructive Pulmonary Disease,771193.098,311016.069,1442051.904,771 193 [311 016 - 1 442 052],17.649,7.118,33.002,17.65 [7.12 - 33.00]
Global,Global,2018,Female,65 to 69 years,Acute Lower Respiratory Infections,376538.908,239564.635,531003.572,376 539 [239 565 - 531 004],8.617,5.483,12.152,8.62 [5.48 - 12.15]
